experiment,model,fold,accuracy,balanced_accuracy,f1_macro,auc_macro,asc_params
A2,DCM-DNN,0,0.6388888888888888,0.6388888888888888,0.6246992782678429,0.7268518518518519,"[0.0, 0.019319627434015274]"
A2,PlainDNN,0,0.6805555555555556,0.6805555555555556,0.6729211929685956,0.7299382716049383,
A2,LR,0,0.7361111111111112,0.7361111111111112,0.7356521739130435,0.7206790123456791,
A2,DCM-DNN,1,0.6388888888888888,0.6388888888888888,0.6363636363636364,0.7121913580246914,"[0.0, -0.02056187205016613]"
A2,PlainDNN,1,0.625,0.625,0.6243478260869566,0.7307098765432098,
A2,LR,1,0.6527777777777778,0.6527777777777778,0.6510951734832332,0.7430555555555556,
A2,DCM-DNN,2,0.6666666666666666,0.6666666666666666,0.6664092664092665,0.7407407407407408,"[0.0, -0.02622750960290432]"
A2,PlainDNN,2,0.6944444444444444,0.6944444444444444,0.6824378508420208,0.753858024691358,
A2,LR,2,0.625,0.625,0.6249276480802624,0.6820987654320989,
