dataset,model,ece,bin_0_conf,bin_0_acc,bin_0_count,bin_1_conf,bin_1_acc,bin_1_count,bin_2_conf,bin_2_acc,bin_2_count,bin_3_conf,bin_3_acc,bin_3_count,bin_4_conf,bin_4_acc,bin_4_count,bin_5_conf,bin_5_acc,bin_5_count,bin_6_conf,bin_6_acc,bin_6_count,bin_7_conf,bin_7_acc,bin_7_count,bin_8_conf,bin_8_acc,bin_8_count,bin_9_conf,bin_9_acc,bin_9_count
NACC,DCM-DNN,0.03481896436214446,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.49459123611450195,0.6,5,0.556131899356842,0.5961538461538461,52,0.646900475025177,0.8301886792452831,53,0.7502511143684387,0.8666666666666667,75,0.8567533493041992,0.9253731343283582,134,0.9771551489830017,0.995766299745978,1181
NACC,PlainDNN,0.01830916925271348,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.49205636978149414,0.25,4,0.5465223789215088,0.5918367346938775,49,0.6519198417663574,0.6041666666666666,48,0.7494669556617737,0.7727272727272727,66,0.8597418665885925,0.8717948717948718,117,0.9785875082015991,0.9942434210526315,1216
NACC,LR,0.03934526546665547,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.5602153043072534,0.5925925925925926,27,0.6630730236556761,0.8780487804878049,41,0.7555537475977531,0.9622641509433962,106,0.846376548413294,1.0,107,0.9901717035998802,0.9991796554552912,1219
NACC,RF,0.12438666666666665,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.4,1.0,1,0.48399999999999993,0.64,25,0.5538888888888889,0.7070707070707071,198,0.6527962085308058,0.8815165876777251,211,0.7558407079646019,0.9646017699115044,226,0.8527931034482759,1.0,290,0.975191256830601,1.0,549
PPMI,DCM-DNN,0.04591632845961016,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.3839475214481354,0.4375,16,0.44845059514045715,0.44047619047619047,84,0.5459719896316528,0.5844155844155844,77,0.6489951014518738,0.7017543859649122,57,0.7469691038131714,0.6923076923076923,39,0.8378357887268066,0.65,20,0.9517982602119446,1.0,31
PPMI,PlainDNN,0.0690852685107125,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.3747144639492035,0.16666666666666666,6,0.4579582214355469,0.5061728395061729,81,0.5512341856956482,0.5131578947368421,76,0.653956949710846,0.5625,64,0.7514583468437195,0.7916666666666666,48,0.8374266624450684,0.5714285714285714,21,0.9631054997444153,0.9285714285714286,28
PPMI,LR,0.11554259617441597,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.38354755620933023,0.0,3,0.4689381774884321,0.5555555555555556,27,0.5469365134181405,0.4470588235294118,85,0.648726796509552,0.5373134328358209,67,0.7479907030605418,0.6792452830188679,53,0.8436808914520352,0.6216216216216216,37,0.9640863467587404,0.8461538461538461,52
PPMI,RF,0.0494444444444445,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.3738888888888889,0.3333333333333333,18,0.4630864197530864,0.4691358024691358,81,0.553111111111111,0.6555555555555556,90,0.6455000000000001,0.65,60,0.7475,0.6666666666666666,36,0.8515999999999999,0.92,25,0.9507142857142856,1.0,14
