experiment,model,fold,balanced_accuracy,f1_macro,auc_macro,repeat
C3_PPMI_CV,DCM-DNN-Warmup,0.0,0.638888888888889,0.619406177804398,0.7953960905349794,
C3_PPMI_CV,DCM-DNN-standard,0.0,0.6481481481481481,0.6399080484835269,0.8136574074074074,
C3_PPMI_CV,LR,0.0,0.5833333333333334,0.5808219178082191,0.7665895061728395,
C3_PPMI_CV,DCM-DNN-Warmup,1.0,0.5833333333333334,0.5495332834991279,0.7556584362139919,
C3_PPMI_CV,DCM-DNN-standard,1.0,0.5925925925925927,0.5733118105999462,0.7672325102880658,
C3_PPMI_CV,LR,1.0,0.5925925925925927,0.5918803418803419,0.7614454732510287,
C3_PPMI_CV,DCM-DNN-Warmup,2.0,0.6574074074074074,0.6304789638122972,0.8090277777777777,
C3_PPMI_CV,DCM-DNN-standard,2.0,0.6388888888888888,0.6268943533697633,0.8007973251028807,
C3_PPMI_CV,LR,2.0,0.6018518518518519,0.5837606837606838,0.7853652263374485,
C3_PPMI_NACC,DCM-DNN-Warmup,,0.6973333333333334,0.677514539856312,0.8871173333333333,0.0
C3_PPMI_NACC,DCM-DNN-standard,,0.6966666666666667,0.6648261281729223,0.884636,0.0
C3_PPMI_NACC,LR,,0.6833333333333332,0.6654972144658681,0.8666686666666666,0.0
C3_PPMI_NACC,DCM-DNN-Warmup,,0.7066666666666667,0.678762295778292,0.9076266666666667,1.0
C3_PPMI_NACC,DCM-DNN-standard,,0.7266666666666667,0.6889109822979996,0.9145373333333332,1.0
C3_PPMI_NACC,LR,,0.6826666666666666,0.6648674294902653,0.8667360000000001,1.0
C3_PPMI_NACC,DCM-DNN-Warmup,,0.698,0.6806302499354328,0.8880626666666668,2.0
C3_PPMI_NACC,DCM-DNN-standard,,0.7226666666666667,0.688661145282349,0.923826,2.0
C3_PPMI_NACC,LR,,0.6826666666666666,0.6646660224061948,0.8666959999999998,2.0
