experiment,model,metric,mean,std,ci_lower,ci_upper,n
V3,Ensemble-DCM-DNN,balanced_accuracy,0.5753600823045267,0.012439097005497682,0.5683220006200188,0.5823981639890347,12
V3,Ensemble-DCM-DNN,f1_macro,0.5763911648167582,0.01156956123230596,0.5698450693107181,0.5829372603227984,12
V3,Ensemble-DCM-DNN,auc_macro,0.7611454046639232,0.007922207691674189,0.7566629936954263,0.7656278156324201,12
V3,Ensemble-PlainDNN,balanced_accuracy,0.5756172839506172,0.012377787464522607,0.5686138914044954,0.582620676496739,12
V3,Ensemble-PlainDNN,f1_macro,0.5767087535148107,0.012230218635623225,0.5697888558937161,0.5836286511359052,12
V3,Ensemble-PlainDNN,auc_macro,0.7598284369760707,0.007919988441681465,0.7553472816664629,0.7643095922856785,12
V3,LR,balanced_accuracy,0.5702160493827161,0.004009376869372382,0.5679475308641976,0.5724845679012346,12
V3,LR,f1_macro,0.5705544236574276,0.004524577866110635,0.5679944027334386,0.5731144445814166,12
V3,LR,auc_macro,0.7813071559213535,0.002673293453703253,0.7797945977601374,0.7828197140825696,12
