experiment,model,repeat,accuracy,balanced_accuracy,f1_macro,auc_macro,asc_params
A3,DCM-DNN,0,0.6574074074074074,0.6574074074074074,0.653125,0.726466049382716,"[0.0, 0.0402146615087986]"
A3,LR,0,0.6759259259259259,0.6759259259259259,0.6725288053365677,0.7330675582990398,
A3,DCM-DNN,1,0.6574074074074074,0.6574074074074074,0.653125,0.7187499999999999,"[0.0, 0.023151850327849388]"
A3,LR,1,0.6759259259259259,0.6759259259259259,0.6725288053365677,0.7332390260631001,
A3,DCM-DNN,2,0.6620370370370371,0.662037037037037,0.6588120740019474,0.723122427983539,"[0.0, -0.03435846045613289]"
A3,LR,2,0.6759259259259259,0.6759259259259259,0.6725288053365677,0.7332390260631001,
A3,DCM-DNN,3,0.6666666666666666,0.6666666666666667,0.6643356643356644,0.723508230452675,"[0.0, 0.01447147224098444]"
A3,LR,3,0.6759259259259259,0.6759259259259259,0.6725288053365677,0.73315329218107,
A3,DCM-DNN,4,0.6388888888888888,0.6388888888888888,0.6327171259155913,0.7264660493827162,"[0.0, 0.01597682200372219]"
A3,LR,4,0.6759259259259259,0.6759259259259259,0.6725288053365677,0.73315329218107,
