experiment,model,fold,balanced_accuracy,f1_macro,auc_macro
C2,Pretrain-Finetune,0,0.6111111111111112,0.6134868421052632,0.7946244855967078
C2,DCM-DNN-scratch,0,0.6111111111111112,0.5773291219300609,0.7874228395061729
C2,LR,0,0.5833333333333334,0.5808219178082191,0.7665895061728395
C2,Pretrain-Finetune,1,0.5648148148148148,0.5701198405951496,0.7355967078189299
C2,DCM-DNN-scratch,1,0.5648148148148149,0.5292490118577075,0.7605452674897119
C2,LR,1,0.5925925925925927,0.5918803418803419,0.7614454732510287
C2,Pretrain-Finetune,2,0.6388888888888888,0.6415077446503715,0.799511316872428
C2,DCM-DNN-scratch,2,0.6203703703703703,0.5868483556110332,0.7790637860082303
C2,LR,2,0.6018518518518519,0.5837606837606838,0.7853652263374485
