feature_name,dcm_dnn_attr,plain_dnn_attr,rf_importance,lr_coef_class0,lr_coef_class1,lr_coef_class2
TRAIL_MAKING,0.06168046,0.05881839,0.04796841245223038,0.3820653383880173,0.15320287945588792,0.22886245893212975
CUBE,0.062270433,0.069342956,0.03377406673539603,0.2072691688998154,0.04860410322824726,0.18190880706306842
CLOCK_CONTOUR,0.03803586,0.041968763,0.014628028678813468,0.21069924570071952,0.06948338703568706,0.24514912581918513
CLOCK_NUMBERS,0.078718886,0.06713459,0.048680344040429556,0.19469726442379368,0.042501043823201856,0.17446291189888413
CLOCK_HANDS,0.07333966,0.0788468,0.04737162213257984,0.05849228208705039,0.22475164528583808,0.16823815699002415
NAMING,0.021510588,0.02857313,0.013360172527787966,0.21583907724730667,0.17926902378221565,0.07391897808645362
DIGIT_SPAN,0.043735202,0.04029606,0.029398415569569163,0.10126017672238849,0.04138535201349532,0.09703421171970124
VIGILANCE,0.0359729,0.04280763,0.021680454671288783,0.1314809017554171,0.06902790533666288,0.20050880709207952
SERIAL_7,0.060228545,0.05835536,0.05634518127331466,0.3643841371588267,0.1873548368416026,0.17702930031722416
SENTENCE_REP,0.075109765,0.07197141,0.04763697251400366,0.42569254097264186,0.1295179834125742,0.29617455756006766
FLUENCY,0.090906024,0.089707695,0.04830163142708068,0.4566465435403055,0.06209194591146707,0.40868550236304807
ABSTRACTION,0.039031435,0.035990674,0.023479954268396372,0.12004523912993537,0.06427192522771881,0.14982475926725528
DELAYED_RECALL,0.063298464,0.060569502,0.102853712047637,0.3307883468571576,0.07480117705740283,0.40558952391456027
ORIENT_DATE,0.041960277,0.043153178,0.02906042141214026,0.28821321528180216,0.05030255248972652,0.24386366031034695
ORIENT_MONTH,0.026853094,0.02615636,0.00994950160295314,0.10309452403741379,0.3826178205559455,0.2972697461793442
ORIENT_YEAR,0.028062925,0.021513436,0.016574760705837032,0.0737155906070562,0.1304307450831606,0.10145764380554838
ORIENT_DAY,0.03499742,0.035054166,0.016459928040014636,0.3111924383616924,0.1691697009531858,0.475616987397124
ORIENT_PLACE,0.026100466,0.030264597,0.012303082364796545,0.08991370238881873,0.12696310991403825,0.06950581955981723
ORIENT_CITY,0.009750051,0.0131126065,0.0018787038816852476,0.31642678855215567,0.17225797733111503,0.3026750903526554
AGE,0.070821434,0.07543362,0.15368457884967338,0.4238902880138067,0.09850487469183636,0.3393298504522261
GENDER,0.059295554,0.058691062,0.03040782265374073,0.18898348813505614,0.05869375713127314,0.16648269238049546
EDUCATION,0.04211635,0.040710356,0.08945984980632023,0.03959563923931624,0.11398719463972003,0.0962998236520198
GDS,0.063788705,0.06167963,0.1047423823443113,0.5701605547872249,0.09162096913868881,0.4911985124021724
dataset_id,0.0,0.0,0.0,0.0,0.0,0.0
