train_size,fold,model,eval_dataset,auc
500,4,DCM-DNN Independent,NACC,0.9982626966260296
500,4,LR Independent,NACC,1.0
1000,0,DCM-DNN Joint,NACC,0.998849879955983
1000,0,DCM-DNN Joint,PPMI,
1000,0,LR Joint,NACC,0.9998791566629985
1000,0,LR Joint,PPMI,0.8212725803003581
1000,0,DCM-DNN Independent,NACC,0.9991317546378822
1000,0,LR Independent,NACC,1.0
1000,1,DCM-DNN Joint,NACC,
1000,1,DCM-DNN Joint,PPMI,
1000,1,LR Joint,NACC,0.9994322143819755
1000,1,LR Joint,PPMI,0.8634905575133279
1000,1,DCM-DNN Independent,NACC,0.9977043492294037
1000,1,LR Independent,NACC,0.9998742971176555
1000,2,DCM-DNN Joint,NACC,
1000,2,DCM-DNN Joint,PPMI,
1000,2,LR Joint,NACC,0.9999917138266653
1000,2,LR Joint,PPMI,0.8393450457941568
1000,2,DCM-DNN Independent,NACC,0.9971394393659715
1000,2,LR Independent,NACC,1.0
1000,3,DCM-DNN Joint,NACC,
1000,3,DCM-DNN Joint,PPMI,
1000,3,LR Joint,NACC,0.9995099944958264
1000,3,LR Joint,PPMI,0.8429112554112553
1000,3,DCM-DNN Independent,NACC,0.9980026900936046
1000,3,LR Independent,NACC,0.9999613162220272
1000,4,DCM-DNN Joint,NACC,0.9989646346652249
1000,4,DCM-DNN Joint,PPMI,0.830281970585939
1000,4,LR Joint,NACC,0.9999789005417575
1000,4,LR Joint,PPMI,0.826586118716009
1000,4,DCM-DNN Independent,NACC,0.9994436989302532
1000,4,LR Independent,NACC,1.0
2000,0,DCM-DNN Joint,NACC,0.9994498661080989
2000,0,DCM-DNN Joint,PPMI,0.8391263785632509
2000,0,LR Joint,NACC,1.0
2000,0,LR Joint,PPMI,0.8724757136163163
2000,0,DCM-DNN Independent,NACC,0.9993356613063896
2000,0,LR Independent,NACC,1.0
2000,1,DCM-DNN Joint,NACC,0.998484326711632
2000,1,DCM-DNN Joint,PPMI,0.8184886695906433
2000,1,LR Joint,NACC,0.9999885903398485
2000,1,LR Joint,PPMI,0.8105756578947368
2000,1,DCM-DNN Independent,NACC,0.9987489002682182
2000,1,LR Independent,NACC,0.9999948044606821
2000,2,DCM-DNN Joint,NACC,0.998473501756059
2000,2,DCM-DNN Joint,PPMI,0.9016845793161582
2000,2,LR Joint,NACC,1.0
2000,2,LR Joint,PPMI,0.9113916548127073
2000,2,DCM-DNN Independent,NACC,0.9993684670583426
2000,2,LR Independent,NACC,1.0
2000,3,DCM-DNN Joint,NACC,
2000,3,DCM-DNN Joint,PPMI,
2000,3,LR Joint,NACC,0.9999728994212687
2000,3,LR Joint,PPMI,0.8105865153078775
2000,3,DCM-DNN Independent,NACC,0.9994045727729887
2000,3,LR Independent,NACC,1.0
2000,4,DCM-DNN Joint,NACC,0.9995890999410916
2000,4,DCM-DNN Joint,PPMI,
2000,4,LR Joint,NACC,0.9999875387812475
2000,4,LR Joint,PPMI,0.7728231327302534
2000,4,DCM-DNN Independent,NACC,0.999615113396947
2000,4,LR Independent,NACC,1.0
