experiment,model,fold,accuracy,balanced_accuracy,f1_macro,auc_macro,asc_params
A1,DCM-DNN,0,0.9640718562874252,0.9640718562874251,0.9640512323754171,0.9981713220266055,"[0.0, 0.036650799214839935]"
A1,PlainDNN,0,0.9730538922155688,0.9730538922155689,0.9730478521666621,0.9983864606117107,
A1,LR,0,0.9940119760479041,0.9940119760479043,0.9940117613310384,1.0,
A1,DCM-DNN,1,0.963963963963964,0.9639275665536398,0.9639558377832299,0.9969699155905057,"[0.0, 0.026690006256103516]"
A1,PlainDNN,1,0.96996996996997,0.9700238078060746,0.9699631981526915,0.995995959887454,
A1,LR,1,0.993993993993994,0.993993939831181,0.993993939831181,0.9992424788976264,
A1,DCM-DNN,2,0.954954954954955,0.9550176754923887,0.9549403263781766,0.9940841209147969,"[0.0, 0.009594026952981949]"
A1,PlainDNN,2,0.960960960960961,0.9610237356612077,0.9609482828610862,0.9961041771877931,
A1,LR,2,1.0,1.0,1.0,1.0,
