train_size_per_class,fold,model,eval_dataset,accuracy,f1_macro,auc_macro,balanced_accuracy,binary_accuracy,binary_f1,binary_auc,binary_balanced_acc
200,0,DCM-DNN,NACC,0.9646017699115044,0.9626713664533465,0.9937674639008961,0.9595959595959597,0.9911504424778761,0.9932885906040269,0.999298245614035,0.9933333333333334
200,0,DCM-DNN,PPMI,0.5573770491803278,0.5737085531887174,0.7785027100271003,0.5783333333333333,0.6557377049180327,0.704225352112676,0.7963414634146342,0.6798780487804879
200,0,PlainDNN,NACC,0.9203539823008849,0.9133287875836092,0.9862111638464492,0.9112554112554112,0.9646017699115044,0.9726027397260274,0.996140350877193,0.9733333333333334
200,0,PlainDNN,PPMI,0.5409836065573771,0.5438596491228069,0.7938730803974706,0.5641666666666666,0.6229508196721312,0.6461538461538462,0.7963414634146341,0.6810975609756098
200,0,LR,NACC,0.9203539823008849,0.9187981618946623,0.9916913014503823,0.9204070783018151,0.9734513274336283,0.9801324503311258,0.9971929824561403,0.9670175438596491
200,0,LR,PPMI,0.6229508196721312,0.6395525641434602,0.8155758807588076,0.6391666666666667,0.7213114754098361,0.7733333333333333,0.8475609756097562,0.7286585365853658
200,0,RF,NACC,0.911504424778761,0.9071169930640554,0.9805789160802133,0.9059770638718007,0.9646017699115044,0.9733333333333334,0.9957894736842104,0.9603508771929825
200,0,RF,PPMI,0.6065573770491803,0.618015607580825,0.8008051038843721,0.6141666666666666,0.7049180327868853,0.75,0.825609756097561,0.7292682926829268
200,0,XGBoost,NACC,0.8849557522123894,0.8823747464327064,0.9827522792255928,0.8830029619503303,0.9823008849557522,0.9866666666666667,0.996140350877193,0.9801754385964913
200,0,XGBoost,PPMI,0.6065573770491803,0.6203344481605352,0.790316169828365,0.6075,0.7049180327868853,0.7631578947368421,0.7731707317073171,0.7036585365853658
200,1,DCM-DNN,NACC,0.9457364341085271,0.9463341058749953,0.9942090861914421,0.9482788444905724,0.9767441860465116,0.9826589595375722,0.9983370288248337,0.9829545454545454
200,1,DCM-DNN,PPMI,0.6888888888888889,0.6505050505050505,0.8696842373312962,0.6506238859180035,0.8444444444444444,0.8727272727272727,0.9201680672268908,0.8403361344537814
200,1,PlainDNN,NACC,0.9147286821705426,0.9153770150642228,0.9931535122894749,0.9199100501643315,0.9457364341085271,0.9585798816568047,0.9986141906873615,0.9602272727272727
200,1,PlainDNN,PPMI,0.7333333333333333,0.6998556998556998,0.871275783040489,0.7005347593582888,0.8444444444444444,0.8771929824561403,0.9159663865546219,0.828781512605042
200,1,LR,NACC,0.9612403100775194,0.9615721944208394,0.9986790583573147,0.9645390070921985,0.9767441860465116,0.9826589595375722,1.0,0.9829545454545454
200,1,LR,PPMI,0.7111111111111111,0.6820636027797153,0.8635090399796282,0.680926916221034,0.8666666666666667,0.8928571428571429,0.9180672268907563,0.8581932773109244
200,1,RF,NACC,0.9147286821705426,0.9153770150642228,0.9922542105014861,0.9199100501643315,0.9457364341085271,0.9585798816568047,0.9997228381374723,0.9602272727272727
200,1,RF,PPMI,0.6444444444444445,0.6147875816993463,0.8092691622103386,0.6114081996434938,0.7777777777777778,0.8275862068965517,0.8697478991596639,0.7521008403361344
200,1,XGBoost,NACC,0.8914728682170543,0.8925216404143607,0.9852160683115536,0.8955198062618924,0.9457364341085271,0.9590643274853801,0.9958425720620843,0.9537139689578713
200,1,XGBoost,PPMI,0.6222222222222222,0.577020202020202,0.8002928444104914,0.5811051693404634,0.7333333333333333,0.7931034482758621,0.8466386554621849,0.7048319327731092
200,2,DCM-DNN,NACC,0.8695652173913043,0.8641240803698307,0.983953039441482,0.8705882352941177,0.9565217391304348,0.965034965034965,0.9976928147659856,0.9662162162162162
200,2,DCM-DNN,PPMI,0.603448275862069,0.6034262485481997,0.814401839739077,0.5997442455242966,0.7758620689655172,0.8395061728395061,0.8802008608321377,0.7381635581061693
200,2,PlainDNN,NACC,0.8869565217391304,0.8833232569769439,0.9920398737650452,0.890399330463893,0.9565217391304348,0.9655172413793104,0.9983520105471325,0.9607778510217535
200,2,PlainDNN,PPMI,0.603448275862069,0.6005004267658166,0.7978482063851816,0.5957184806289666,0.7931034482758621,0.8536585365853658,0.8586800573888091,0.7503586800573888
200,2,LR,NACC,0.8956521739130435,0.8934001670843775,0.9909064224434859,0.895791487326638,0.9652173913043478,0.9726027397260274,0.9990112063282794,0.9675346077785102
200,2,LR,PPMI,0.6379310344827587,0.6329469003887609,0.8278277656650029,0.6349341669034764,0.8275862068965517,0.875,0.8802008608321377,0.8091822094691534
